City,Lat,Lng,Max Temp,Humidity,Wind Speed,Cloudiness,Country,Date
Nālūt,30.33,10.85,76.1,52,20.33,0,LY,1596784815
Pacific Grove,36.62,-121.92,59.0,93,1.99,19,US,1596784816
De-Kastri,51.47,140.78,62.26,70,12.35,100,RU,1596784816
Alice,27.75,-98.07,78.8,88,4.7,20,US,1596784816
Port Hardy,50.7,-127.42,57.2,87,5.91,75,CA,1596784748
Toppenish,46.38,-120.31,62.01,87,4.7,1,US,1596784817
Sakakah,29.97,40.21,87.8,31,16.11,0,SA,1596784817
Nikolskoye,59.7,30.79,72.0,64,2.24,40,RU,1596784629
Ahipara,-35.17,173.17,56.05,81,15.99,0,NZ,1596784733
Oistins,13.07,-59.53,82.4,83,21.92,75,BB,1596784557
Ushuaia,-54.8,-68.3,35.6,74,6.93,40,AR,1596784447
Punta Arenas,-53.15,-70.92,37.4,69,19.46,99,CL,1596784621
Mahébourg,-20.41,57.7,69.8,73,5.82,75,MU,1596784730
Thompson,55.74,-97.86,68.0,72,5.82,20,CA,1596784693
Vaini,-21.2,-175.2,69.8,88,5.82,20,TO,1596784622
Busselton,-33.65,115.33,61.0,42,8.5,78,AU,1596784626
Conceição do Araguaia,-8.26,-49.26,68.99,53,3.44,0,BR,1596784819
Cape Town,-33.93,18.42,53.01,93,3.36,0,ZA,1596784464
Cherskiy,68.75,161.3,44.98,85,8.75,100,RU,1596784679
Jamestown,42.1,-79.24,62.6,67,6.93,75,US,1596784584
Namatanai,-3.67,152.43,84.04,70,6.62,2,PG,1596784820
Hibbing,47.43,-92.94,55.4,100,6.58,75,US,1596784821
Mar del Plata,-38.0,-57.56,43.0,84,7.9,0,AR,1596784671
Hermanus,-34.42,19.23,46.0,87,5.99,0,ZA,1596784650
Amberley,39.2,-84.43,64.99,93,4.21,40,US,1596784821
Derzhavīnsk,51.1,66.32,87.57,26,22.62,99,KZ,1596784822
Ucluelet,48.93,-125.55,57.0,89,9.22,82,CA,1596784781
Albany,42.6,-73.97,66.0,74,3.0,92,US,1596784498
Atuona,-9.8,-139.03,79.34,71,24.2,3,PF,1596784629
Pisco,-13.7,-76.22,54.0,87,3.36,20,PE,1596784627
East London,-33.02,27.91,59.0,51,11.41,5,ZA,1596784823
Rikitea,-23.12,-134.97,68.63,74,17.22,100,PF,1596784623
Constitución,-35.33,-72.42,44.69,74,6.13,0,CL,1596784824
Mabaruma,8.2,-59.78,72.5,98,1.48,23,GY,1596784824
Mount Gambier,-37.83,140.77,51.8,66,20.8,100,AU,1596784675
Atbasar,51.8,68.33,85.08,26,18.01,0,KZ,1596784825
Chiredzi,-21.05,31.67,65.35,68,14.25,100,ZW,1596784825
Buchanan,5.88,-10.05,75.2,88,5.64,75,LR,1596784825
Pineville,31.32,-92.43,73.0,94,3.36,1,US,1596784826
Ulladulla,-35.35,150.47,51.8,100,1.12,75,AU,1596784784
Megion,61.03,76.11,77.0,38,2.24,5,RU,1596784826
Bambous Virieux,-20.34,57.76,73.0,73,5.82,75,MU,1596784826
Chui,-33.7,-53.46,52.21,85,9.89,22,UY,1596784663
Mataura,-46.19,168.86,45.0,90,8.99,100,NZ,1596784628
Udachny,66.42,112.4,77.0,44,6.71,90,RU,1596784739
Marabu,4.41,114.01,91.4,55,8.05,40,MY,1596784827
Sur,22.57,59.53,94.33,42,18.39,100,OM,1596784729
Lagoa,39.05,-27.98,69.04,86,19.57,100,PT,1596784690
Saskylakh,71.92,114.08,68.74,45,13.51,73,RU,1596784622
Kapaa,22.08,-159.32,78.8,88,16.11,75,US,1596784348
Lorengau,-2.02,147.27,83.97,72,6.73,21,PG,1596784621
Vardø,70.37,31.11,51.8,93,9.17,40,NO,1596784661
Dikson,73.51,80.55,47.84,95,12.3,100,RU,1596784829
Manokwari,-0.87,134.08,78.3,83,5.7,100,ID,1596784465
Damaturu,11.75,11.96,70.99,85,14.03,100,NG,1596784829
New Norfolk,-42.78,147.06,48.0,80,2.46,93,AU,1596784624
Cumberland,35.05,-78.87,77.0,94,5.77,75,US,1596784538
Houston,29.76,-95.36,82.4,83,5.82,1,US,1596784373
Saint-Philippe,-21.36,55.77,75.2,53,11.41,92,RE,1596784688
Ribeira Grande,38.52,-28.7,71.6,83,9.17,75,PT,1596784697
Hongjiang,27.11,110.0,93.63,50,11.56,100,CN,1596784831
Vilyuysk,63.76,121.62,81.05,29,6.71,47,RU,1596784831
Kenai,60.55,-151.26,57.2,76,6.93,90,US,1596784656
Borovsk,55.21,36.49,71.6,49,11.18,0,RU,1596784831
Pochutla,15.74,-96.47,76.19,90,2.84,100,MX,1596784832
Acapulco de Juárez,16.86,-99.89,80.51,79,3.83,98,MX,1596784400
Klaksvík,62.23,-6.59,51.8,100,13.87,100,FO,1596784660
Airai,-8.93,125.41,70.45,65,1.48,61,TL,1596784833
Santa Cruz de la Sierra,-17.8,-63.17,64.4,88,5.82,20,BO,1596784833
Qaanaaq,77.48,-69.36,34.43,81,6.06,0,GL,1596784642
Itarema,-2.92,-39.92,75.87,74,16.26,0,BR,1596784834
Teluknaga,-6.1,106.64,93.99,62,14.99,20,ID,1596784834
Cabo San Lucas,22.89,-109.91,80.01,76,8.32,17,MX,1596784769
George Town,5.41,100.34,89.6,62,10.29,20,MY,1596784467
Mehamn,71.04,27.85,57.2,76,9.17,100,NO,1596784835
