City,Lat,Lng,Max Temp,Humidity,Wind Speed,Cloudiness,Country,Date
Iqaluit,-68.51,63.75,55.4,87,16.11,90,CA,1596674195
Kapaa,-159.32,22.08,82.4,74,10.29,90,US,1596674195
Saint-Philippe,55.77,-21.36,62.6,63,6.93,40,RE,1596673953
Rikitea,-134.97,-23.12,70.68,74,9.8,17,PF,1596673958
San Quintín,-115.95,30.48,70.43,68,19.19,0,MX,1596674197
Punta Arenas,-70.92,-53.15,37.4,80,18.34,50,CL,1596674196
Shelburne,-80.2,44.08,64.4,59,4.7,20,CA,1596674198
Hong Kong,114.16,22.29,84.0,83,5.99,100,HK,1596674144
Eyl,49.82,7.98,79.03,63,23.35,96,SO,1596674198
Bluff,168.33,-46.6,48.0,87,1.61,100,NZ,1596674199
Port Lincoln,135.87,-34.73,51.39,63,20.69,100,AU,1596674129
Puerto Ayora,-90.35,-0.74,66.99,94,7.74,100,EC,1596674199
Provideniya,-173.3,64.38,55.4,66,13.42,75,RU,1596674200
Arraial do Cabo,-42.03,-22.97,69.64,72,15.57,0,BR,1596674036
Port Elizabeth,25.57,-33.92,51.8,93,9.17,90,ZA,1596674191
Saint George,-113.58,37.1,100.4,7,14.99,1,US,1596674165
Sitka,-135.33,57.05,55.4,87,4.7,90,US,1596674200
Nizhniy Tsasuchey,115.13,50.52,64.6,79,5.23,96,RU,1596674201
Hofn,-15.21,64.25,51.06,89,2.62,4,IS,1596674201
Barstow,-117.02,34.9,102.2,10,19.46,1,US,1596674201
Hamilton,-84.53,39.18,73.0,53,6.93,75,US,1596674030
Dongsheng,109.98,39.82,69.71,68,12.28,68,CN,1596674202
Qaqortoq,-46.03,60.72,46.4,70,5.82,98,GL,1596674202
Klaksvík,-6.59,62.23,50.0,100,13.87,0,FO,1596674203
Bobrovskiy,60.98,56.67,62.6,100,4.47,26,RU,1596674203
Lebu,-73.65,-37.62,47.52,78,4.21,0,CL,1596674204
New Norfolk,147.06,-42.78,48.0,70,3.0,30,AU,1596674204
Berbera,45.01,10.44,89.13,46,21.9,100,SO,1596674204
Castro,-50.01,-24.79,53.42,84,2.68,0,BR,1596674205
Cape Town,18.42,-33.93,51.01,76,3.36,75,ZA,1596674205
Ust-Kuyga,135.6,70.02,67.66,53,8.9,100,RU,1596674206
Torbay,-52.73,47.67,57.99,82,14.99,75,CA,1596674114
